Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
1,3.895649679550415e-05,0.8481680537018541,0.7867533521801902,0.8553205631100215,0.7860467766339962
2,7.79129935910083e-05,0.7089862497398137,0.8125222694178867,0.7443020865321159,0.8077767113080392
3,0.00011686949038651245,0.6503702341975652,0.8274644987465555,0.704745702445507,0.8182434645982889
4,0.0001558259871820166,0.6288733872597527,0.8284477080999468,0.6781390710518911,0.8218238009856298
5,0.00019478248397752075,0.5851672235625742,0.8403861573458787,0.6538462117314339,0.8290204038986793
6,0.0002337389807730249,0.5630152824213687,0.8428645027058007,0.6333548971093618,0.8299437577907856
7,0.00027269547756852904,0.5654406923082377,0.8456068717845352,0.6368091089221147,0.8318122430489614
8,0.0003116519743640332,0.5450897073799185,0.8496048573421255,0.6363952738734392,0.8323385956195685
9,0.00035060847115953736,0.5171595008651237,0.8575461605739166,0.6141590573466741,0.8388278702130685
10,0.0003895649679550415,0.5234991932129112,0.8555511933805696,0.6258782113973911,0.8386738243011328
11,0.0004285214647505456,0.5622009737876499,0.8496821787325256,0.6673539538796132,0.8267463812461266
12,0.0004674779615460498,0.5256526855075306,0.8557955064046543,0.6470912093153367,0.8344630197836802
13,0.000506434458341554,0.5179844268768892,0.8570127586078217,0.6171611186403495,0.839604030434902
14,0.0005453909551370581,0.4966941993733693,0.8614876946526258,0.5986299646588472,0.842670873953746
15,0.0005843474519325623,0.4962798344313831,0.8620726728118588,0.6145803458415545,0.8421019395956626
16,0.0006233039487280665,0.5152405086787827,0.8555145958613922,0.6233749613165855,0.833847429889899
17,0.0006622604455235705,0.5074373617300538,0.8584906301156288,0.6501935634475488,0.8339156989867871
18,0.000697551593940026,0.5130334579356582,0.85940429929126,0.6342291734539546,0.8362400932953908
19,0.0006789468652858777,0.4766504128417627,0.8670694860107696,0.6075585060394727,0.8434704163899789
20,0.0006617555466994166,0.4797268844639774,0.8650696307019803,0.5963039541473756,0.8415257919293183
21,0.0006458072862980572,0.4692511370096506,0.8685608172095944,0.604432575404644,0.8441761548702533
22,0.0006309591570036583,0.4491138210344742,0.8729537696047214,0.5823924466967583,0.8482608749316289
23,0.0006170902291769035,0.45302478541440494,0.871536512813226,0.6054522526951936,0.8444955532367413
24,0.0006040974008023898,0.4326506857781132,0.8770697453631414,0.5878034245509368,0.8464584809083205
25,0.000591892154762973,0.4185024455791097,0.8804955215197507,0.5917504424085984,0.8486884236335754
26,0.0005803980090536308,0.411862326510284,0.8818688761493015,0.588369580415579,0.8488945743212333
27,0.0005695484914727168,0.39558587540692813,0.8857275354488013,0.578584265250426,0.8486699633873426
28,0.0005592855158832075,0.3858335888840158,0.8877352216853155,0.602944399874944,0.8483921392605855
29,0.0005495580692152709,0.3751379451275941,0.8902741515582987,0.5855166505162532,0.848954283274137
30,0.0005403211412900318,0.3610636470296458,0.8933071662492281,0.5733128883517705,0.850961752809011
31,0.0005315348461174118,0.3545059977358232,0.8951187796656861,0.5853031254731692,0.8511028198095468
32,0.0005231636954550196,0.34021679656120696,0.8996828465718325,0.6067657929200393,0.8492665623243039
33,0.0005151759943985274,0.32779183275496476,0.9027145320524549,0.5802957100363878,0.8523116398316163
34,0.0005075433354940036,0.3187935118450712,0.9053634084393626,0.6204590843274043,0.8496584754723769
35,0.0005002401729383561,0.3073371148296536,0.9076813130635317,0.5958730715971726,0.850691937483274
36,0.0004932434623024774,0.30450303718915434,0.9085604553799993,0.6119719279500154,0.848608496097418
37,0.00048653235418509284,0.29235253072105716,0.9121062953375915,0.6061293150369937,0.8516746186293088
38,0.00048008793250899355,0.28832359936071617,0.9130870381812878,0.6084321026618664,0.849923795232406
39,0.00047389298996954884,0.27398597759783533,0.9166417231474222,0.6214214769693521,0.846973215158169
40,0.0004679318345589686,0.268449662445372,0.9190557885063069,0.6521680790644425,0.8453675107314036
